Date,Open,High,Low,Close,Volume
2020-12-18,644.01,664.02,630.0,654.67,68630.8105990792
2020-12-19,654.58,669.0,645.6,658.83,65782.6548374788
2020-12-20,658.57,660.6,622.0,638.28,86577.8345969706
2020-12-21,638.0,648.0,597.0,608.01,108823.624180882
2020-12-22,608.0,637.47,587.84,637.46,58163.9321000194
2020-12-23,637.46,638.34,550.0,585.5,96223.3374515804
2020-12-24,585.03,615.14,565.9,612.49,58137.2065420395
2020-12-25,612.31,633.33,603.92,626.83,49171.1877610994
2020-12-26,626.77,651.99,615.5,635.95,76505.5775873201
2020-12-27,636.33,715.09,623.68,683.03,189210.4253362433
2020-12-28,683.49,746.71,680.39,729.12,178049.3711340822
2020-12-29,729.12,738.97,686.76,731.84,131331.082846682
2020-12-30,731.84,758.0,716.23,752.5,129621.2107544222
2020-12-31,752.9,756.11,721.0,737.45,84351.63264722
2021-01-01,737.35,750.0,717.0,730.85,44230.2098579996
2021-01-02,730.95,788.0,717.5,775.01,149416.8251287914
2021-01-03,775.05,1012.7,769.49,979.86,300555.7482349307
2021-01-04,980.0,1166.0,888.88,1042.52,395811.5086393089
2021-01-05,1043.52,1134.0,975.0,1103.41,272632.4965551011
2021-01-06,1103.48,1215.09,1058.97,1211.85,231794.9161255608
2021-01-07,1211.73,1289.88,1161.0,1226.18,218838.4510701888
2021-01-08,1226.47,1273.4,1065.0,1217.33,253343.5021158934
2021-01-09,1218.86,1307.0,1172.79,1280.43,128230.8242945352
2021-01-10,1280.68,1350.0,1152.0,1255.15,212133.573801058
2021-01-11,1255.15,1259.97,910.82,1088.94,442942.5208624882
2021-01-12,1088.55,1152.78,1001.49,1049.98,201765.8690101283
2021-01-13,1050.1,1136.7,985.01,1129.9,144114.8084145505
2021-01-14,1130.11,1246.12,1087.24,1231.08,175493.1485890211
2021-01-15,1231.08,1257.8,1065.0,1168.24,204856.7626995885
2021-01-16,1169.93,1292.01,1152.02,1228.89,152040.5438413507
2021-01-17,1227.71,1268.41,1166.0,1233.24,114011.4688016115
2021-01-18,1233.24,1260.12,1184.21,1258.27,77758.5810844299
2021-01-19,1258.4,1439.55,1252.02,1367.94,257676.3505198989
2021-01-20,1367.65,1407.52,1234.71,1378.0,203364.4116883572
2021-01-21,1377.99,1389.59,1081.56,1111.76,257626.0593358061
2021-01-22,1111.59,1275.0,1040.46,1234.03,218367.1302235626
2021-01-23,1234.0,1273.17,1198.12,1233.89,85833.9117120199
2021-01-24,1234.27,1400.0,1222.13,1392.01,151154.7778914916
2021-01-25,1393.35,1475.0,1291.32,1318.69,231751.2160199117
2021-01-26,1318.3,1379.07,1246.0,1367.15,187548.7371227438
2021-01-27,1367.61,1374.56,1206.0,1240.68,174723.723091141
2021-01-28,1240.31,1362.76,1220.0,1332.12,136652.5290670934
